LineNum,LineName
293,930路(长城路2--上马停车场)
294,931路(天河路停车场--天河路停车场)
295,932路(劲松一路1--即墨公交枢纽南站)
296,933路(天河路停车场--城阳十五中)
297,934路(蔚蓝群岛三期--白沙湾2)
298,935路(白沙湾2--铁路北站东广场)
299,936路(白沙湾--青岛长途汽车站)
300,937路(汽车北站北门--方特梦幻王国)
301,938路(汽车北站北门--后金)
302,939路(环保产业园管委--前金停车场)
303,940路环线(上马停车场--上马停车场)
304,941路(临时站--夏庄东方城停车场)
305,942路(动投壹中心--长城路)
306,943路(立交桥--后金)
307,944路(城阳十五中2--天河路停车场)
308,945路(河套--动投壹中心)
309,946路(洛东小区--后金)
310,9路(百通馨苑--胜利桥)
311,CX106路(平度汽车站--崖头)
312,D120路(极地海洋世界--阅海府邸站)
313,K20路(王台交管所--青岛西站)
314,K23路(连心渔港--衡山路珠江路)
315,K2路(灵山卫公交枢纽站--董家口管委站)
316,L1路(藏马山旅游换乘站--薛家岛枢纽站)
317,L5路(藏马山旅游换乘站--西海岸汽车总站)
318,L6路(藏马山旅游换乘站--东方时尚中心)
319,L7路(四季农业园站--藏马山旅游换乘站)
320,L8路(藏马山旅游换乘站--藏马山旅游度假区)
321,W2路(井冈山路地铁站D口--井冈山路地铁站D口)
322,W3路(保税港区管委站--城市传媒广场)
323,W4路(薛家岛地铁站--薛家岛地铁站)
324,临2路(崂山区政府--新利路停车场)
325,即墨112路(汽车总站--华山站)
326,即墨118路(乔戈庄--汽车总站)
327,即墨374路(河南村--河南村)
328,即青3号线(铁路北站西广场--即墨火车北站综合枢纽站)
329,即青公交2号线(下疃--汽车北站)
330,地铁1号线(王家港--东郭庄)
331,夜1路(府新大厦--胶东国际机场)
332,夜2路(铁路青岛站--胶东国际机场)
333,夜3路(李村东桥公交站--胶东国际机场)
334,夜4路(瑞源繁花里--胶东国际机场)
335,平度1路/K1路西线(公交总站--公交总站)
336,开发区38路(前湾港东道口--港头李)
337,开发区39路(埠上--王台换乘站)
338,开发区40路(雒家--河西董)
339,开发区42路(大湾社区站--赵家庄)
340,开发区43路(柳花泊西--宝山换乘站)
341,开发区46路(福瀛装饰城--灵山卫公交枢纽站)
342,开发区47路(黄山--王台换乘站)
343,开发区49路(观里村--王台换乘站)
344,开发区50路(鱼鸣嘴)(鱼鸣嘴--海尔信息谷)
345,开发区55路(宁江三路清凉山三路--福瀛装饰城)
346,开发区67路(衡山路珠江路--隆和·大溪谷)
347,开发区806路(青岛西站--开发区热电厂)
348,开发区808路(银沙滩北--薛家岛枢纽站)
349,开发区812路(中德生态园小学--大窑西)
350,微循环W1路(大珠山中路站--唐岛湾路东站)
351,新区快线K3路(红石崖西--薛家岛枢纽站)
352,旅游L3路(珠山景区--薛家岛枢纽站)
353,机场快线6路(世界博览城--青岛胶东国际机场)
354,胶州202路(大恒九场站--胶州湾工业园)
355,胶州306路(寺东--胶州湾财富中心)
356,莱西104路(黄家庄--莱西汽车站)
357,莱西301路(前沙--汽车总站)
358,莱西701路(马连庄--莱西汽车站)
359,莱西703路(莱西汽车站--北山口)
360,莱西704路(高家草泊--莱西汽车站)
361,莱西705路(莱西汽车站--斜岚)
362,莱西707路(北岚--月湖小区)
363,莱西801路(唐家庄--莱西汽车站)
364,莱西802路(莱西汽车站--唐家庄)
365,莱西803路(唐家庄--莱西汽车站)
366,莱西805路(盛家--莱西汽车站)
367,都市观光1线(崂山大河东客服中心站--铁路青岛站)
368,都市观光4线(仰口客服中心--铁路青岛站)
369,隧道1路(大窑沟2--山东科技大学)
370,隧道3路(内蒙古路长春路--西海岸汽车东站1)
371,隧道6路(天泰体育场6--灵山卫公交枢纽站)
372,隧道8路(灵山卫公交枢纽站--青岛长途汽车站)
373,黄岛101路(连心渔港--西海岸汽车总站)
374,黄岛102路(西海岸汽车总站--港湾学院站)
375,黄岛103路(东山张--西海岸汽车总站)
376,黄岛105路(山川融园--西海岸汽车总站)
377,黄岛106路(灵山湾路公交枢纽站--崔家庄站)
378,黄岛107路(海创小镇站--灵山湾路公交枢纽站)
379,黄岛108路(西海岸汽车总站--隐珠办事处)
380,黄岛109路(明月海藻世界--青岛西站)
381,黄岛113路(港湾学院--辛庄)
382,黄岛116路(青滨附属医院--西海岸汽车总站)
383,黄岛15路(唐岛湾小区--福瀛装饰城)
384,黄岛181路(明富大道--海军公园首末站)
385,黄岛18路(电影学院--黄岛轮渡)
